Gli stati dell'acqua	Un fazzoletto di stoffa è un materiale solido flessibile/deformabile: può piegarsi e adattarsi a un contenitore senza diventare un liquido, perché adattarsi alla forma non basta; il ghiaccio è soltanto l'esempio dello stato solido dell'acqua. Un liquido fluisce spontaneamente sotto l'azione della gravità e assume la forma della parte del recipiente che occupa. Il solo fatto di adattarsi a un contenitore o di scorrere non basta: la sabbia è formata da granuli solidi che possono scorrere collettivamente.	Non dire che tutto ciò che prende la forma di un contenitore o scorre è liquido. Non usare il ghiaccio per spiegare la natura del fazzoletto: serve solo a rappresentare lo stato solido dell'acqua.
Parti uguali	Una frazione descrive parti uguali di un intero: il denominatore indica in quante parti uguali è diviso l'intero e il numeratore quante di quelle parti sono considerate.	Non chiamare frazioni le suddivisioni in parti disuguali.
Frazioni equivalenti	Due frazioni a/b e c/d, con b e d non nulli, sono equivalenti quando rappresentano lo stesso valore; un controllo è verificare che i prodotti incrociati coincidano, cioè a·d=b·c. Moltiplicare o dividere numeratore e denominatore per lo stesso numero non nullo conserva il valore della frazione. Per sommare o sottrarre frazioni, prima si usa un denominatore comune così i numeratori contano parti della stessa grandezza.	Non modificare solo il numeratore o solo il denominatore quando si costruisce una frazione equivalente e non sommare direttamente denominatori diversi.
Velocità e distanza	Si moltiplica perché la velocità dice quanta distanza si percorre per ogni unità di tempo: 5 m/s significa 5 metri ogni secondo. Esatto: per 3 secondi aggiungi 5 metri tre volte, quindi moltiplichi 5 m/s per 3 s e percorri 15 m; non fai 5+3 perché m/s e s sono unità di grandezze diverse.	Non sommare velocità e tempo: sono grandezze diverse e il prodotto richiede unità coerenti.
Forza, accelerazione e velocità	La seconda legge di Newton riguarda la forza risultante: F_risultante = m·a. Se la forza risultante è costante e non nulla su un corpo di massa costante, l'accelerazione è costante e non nulla, quindi la velocità cambia nel tempo invece di restare costante. No: F=ma non è falsa nel moto uniforme; se la velocità è costante, l'accelerazione è zero e quindi la forza risultante è zero. Possono comunque agire più forze non nulle che si bilanciano. In macchina, anche se tieni l'acceleratore quasi fermo e vai a velocità costante, la trazione del motore e le resistenze dell'aria, degli attriti e del rotolamento si bilanciano: la forza risultante è zero e quindi l'accelerazione è zero.	Non dire che F=ma smette di valere nel moto uniforme e non confondere una singola forza con la forza risultante.
Equazioni di primo grado	Un'equazione si trasforma con operazioni equivalenti applicate a entrambi i membri. La scorciatoia “passa dall'altra parte e cambia segno” descrive l'effetto di sommare o sottrarre la stessa quantità ai due membri, ma non è uno spostamento reale dei termini.	Non insegnare il cambio di segno come una regola magica indipendente dalle operazioni equivalenti; moltiplicare o dividere richiede la stessa operazione su entrambi i membri e, nella divisione, un divisore non nullo.
Derivata e monotonia	Avere f'(x0)=0 in un solo punto significa avere un punto stazionario e non implica che la funzione sia costante: per esempio f(x)=x^2 ha f'(0)=0 ma non è costante. Se invece f'=0 in ogni punto di un intervallo e la funzione è derivabile lì, il teorema del valor medio permette di concludere che la funzione è costante su quell'intervallo. Una funzione costante ha derivata zero in ogni punto del suo intervallo di derivabilità; il converso richiede derivata zero su tutto l'intervallo, non in un solo punto.	Non concludere che f'(x0)=0 in un singolo punto renda la funzione costante e non confondere un punto stazionario con una funzione costante.
Probabilità condizionata e indipendenza	Due eventi che non possono succedere insieme sono incompatibili, non automaticamente indipendenti: l’indipendenza richiede P(A∩B)=P(A)P(B). Se sono incompatibili, P(A∩B)=0; se P(A)>0 allora P(B|A)=0. Il fatto che A e B non succedano insieme non significa che A non cambi B: se P(A)>0, allora P(B|A)=0; se anche P(B)>0, sapere che A è accaduto porta la probabilità condizionata di B a zero e quindi i due eventi non sono indipendenti. Sì: eventi incompatibili possono essere anche indipendenti solo in casi degeneri in cui almeno uno dei due ha probabilità zero.	Non confondere incompatibilità con indipendenza: l'incompatibilità di eventi non nulli crea dipendenza, non indipendenza.
pH e diluizione	Diluire con acqua una soluzione acida riduce la concentrazione degli ioni H+ e quindi, nel modello scolastico, aumenta il pH verso la neutralità. Per una semplice diluizione con acqua il pH di una soluzione acida non diminuisce a causa della diluizione stessa. Esempio: aggiungendo acqua a una soluzione acida, gli ioni H+ diventano meno concentrati e il pH sale verso 7, senza diventare necessariamente neutro.	Non dire che diluire un acido abbassa il pH e non dire che il pH resta invariato se cambia la concentrazione degli H+.
Evoluzione e selezione naturale	Nel caso delle giraffe, non è il bisogno di raggiungere foglie alte a far comparire direttamente un collo ereditariamente più lungo: la selezione naturale agisce su variazioni già presenti nella popolazione, alcune ereditabili, e può rendere più frequenti quelle associate a maggiore successo riproduttivo. Se una giraffa usa molto il collo durante la vita, può modificare il proprio corpo, ma quel carattere acquisito con l'uso non diventa automaticamente una modifica genetica ereditabile dai figli.	Non descrivere l'evoluzione come trasformazione finalistica causata dal bisogno o dallo sforzo dell'individuo.
